# PIMCID: a48c7b1e-9699-4db5-b21f-f7eaecb6ffec
#              K               V               E            E_mu             K/N             V/N             E/N               N             N^2         density
  4.96580211E+02 -6.52771124E+02 -1.56190913E+02  1.98051265E+01  1.89793689E+01 -2.67892182E+01 -7.80984935E+00  2.44438944E+01  6.00949967E+02  2.54064759E-02
  5.18379634E+02 -6.72209991E+02 -1.53830357E+02  2.59139744E+01  1.95952809E+01 -2.70020610E+01 -7.40678009E+00  2.49644904E+01  6.26485828E+02  2.59475726E-02
  5.07140823E+02 -6.87832557E+02 -1.80691735E+02  1.17755699E+00  1.90039936E+01 -2.73028321E+01 -8.29883845E+00  2.52596238E+01  6.41035172E+02  2.62543281E-02
  4.95298745E+02 -6.80058612E+02 -1.84759867E+02 -4.88045591E+00  1.86290098E+01 -2.72992700E+01 -8.67026029E+00  2.49832515E+01  6.27251718E+02  2.59670725E-02
  5.10877248E+02 -7.16824328E+02 -2.05947080E+02 -2.04527581E+01  1.88366770E+01 -2.78896877E+01 -9.05301077E+00  2.57631003E+01  6.66512158E+02  2.67776311E-02
  4.29834258E+02 -6.42938152E+02 -2.13103894E+02 -3.91583743E+01  1.64327703E+01 -2.66988677E+01 -1.02660974E+01  2.41591000E+01  5.87083767E+02  2.51104665E-02
  4.71143267E+02 -6.48538141E+02 -1.77394874E+02 -2.32875653E+00  1.78389254E+01 -2.67717344E+01 -8.93280893E+00  2.43147386E+01  5.95060752E+02  2.52722340E-02
  5.08518413E+02 -6.31952021E+02 -1.23433609E+02  5.00645733E+01  1.97894173E+01 -2.63121181E+01 -6.52270089E+00  2.40969697E+01  5.83746801E+02  2.50458896E-02
  4.98994347E+02 -6.62217688E+02 -1.63223342E+02  1.45970013E+01  1.91029214E+01 -2.68852756E+01 -7.78235423E+00  2.46972698E+01  6.12841905E+02  2.56698291E-02
  4.90458373E+02 -6.55734579E+02 -1.65276206E+02  1.14315993E+01  1.88005913E+01 -2.67996400E+01 -7.99904867E+00  2.45427508E+01  6.05201133E+02  2.55092252E-02
  5.11427788E+02 -6.66234803E+02 -1.54807015E+02  2.33786311E+01  1.93055472E+01 -2.70191006E+01 -7.71355341E+00  2.47480063E+01  6.15918196E+02  2.57225635E-02
  4.65987803E+02 -6.47581718E+02 -1.81593916E+02 -7.80898368E+00  1.78919186E+01 -2.69293721E+01 -9.03745351E+00  2.41367961E+01  5.85763074E+02  2.50872843E-02
  5.24280653E+02 -6.83357991E+02 -1.59077338E+02  2.20600440E+01  1.97586782E+01 -2.72099144E+01 -7.45123626E+00  2.51579697E+01  6.36370394E+02  2.61486709E-02
  4.50408386E+02 -6.68125924E+02 -2.17717539E+02 -4.07088740E+01  1.72142444E+01 -2.72437873E+01 -1.00295429E+01  2.45845367E+01  6.07184217E+02  2.55526566E-02
  5.16150297E+02 -6.52726780E+02 -1.36576483E+02  3.96341500E+01  1.98667967E+01 -2.67410286E+01 -6.87423192E+00  2.44736991E+01  6.02596082E+02  2.54374542E-02
  4.95244926E+02 -6.81706845E+02 -1.86461919E+02 -6.24771361E+00  1.87554565E+01 -2.73123120E+01 -8.55685551E+00  2.50297508E+01  6.29106012E+02  2.60154028E-02
  4.67237034E+02 -6.46274278E+02 -1.79037244E+02 -4.21639780E+00  1.79971087E+01 -2.67048102E+01 -8.70770148E+00  2.42806731E+01  5.92603558E+02  2.52368270E-02
  4.87880406E+02 -6.61939914E+02 -1.74059507E+02  2.68791043E+00  1.86258544E+01 -2.70428405E+01 -8.41698611E+00  2.45482524E+01  6.06044757E+02  2.55149435E-02
  4.35423448E+02 -6.43267123E+02 -2.07843675E+02 -3.44599606E+01  1.65629931E+01 -2.68135570E+01 -1.02505639E+01  2.40810714E+01  5.83352825E+02  2.50293652E-02
  5.26763980E+02 -6.54152879E+02 -1.27388899E+02  4.98255706E+01  2.01119891E+01 -2.66699756E+01 -6.55798651E+00  2.46131208E+01  6.08920705E+02  2.55823663E-02
