#                   T = 0.50                                        T = 1.00                                        T = 1.50                                        T = 2.00                    
#          r [Å]            ρ(r)           Δρ(r)           r [Å]            ρ(r)           Δρ(r)           r [Å]            ρ(r)           Δρ(r)           r [Å]            ρ(r)           Δρ(r)
  1.34800000E+00  2.84949194E-05  7.88260049E-08  1.34800000E+00  2.85562449E-05  9.07744456E-08  1.34800000E+00  2.88217717E-05  1.15908884E-07  1.34800000E+00  2.90549523E-05  8.06749535E-08
  1.36300000E+00  1.90066081E-05  6.37577844E-08  1.36300000E+00  1.92620665E-05  6.36571917E-08  1.36300000E+00  1.93623805E-05  7.11418403E-08  1.36300000E+00  1.93960698E-05  6.98036845E-08
  1.37700000E+00  1.26391131E-05  5.05291898E-08  1.37700000E+00  1.27157895E-05  5.23651280E-08  1.37700000E+00  1.27536604E-05  6.09101479E-08  1.37700000E+00  1.28248914E-05  3.87589951E-08
  1.39200000E+00  8.22116145E-06  3.76537908E-08  1.39200000E+00  8.31314183E-06  3.82216751E-08  1.39200000E+00  8.32811506E-06  4.84376509E-08  1.39200000E+00  8.33925229E-06  2.91385392E-08
  1.40600000E+00  5.28402771E-06  2.19295631E-08  1.40600000E+00  5.29319202E-06  2.79314103E-08  1.40600000E+00  5.32678213E-06  2.99250898E-08  1.40600000E+00  5.36612079E-06  3.43889859E-08
  1.42100000E+00  3.29183972E-06  2.03630183E-08  1.42100000E+00  3.29394729E-06  1.74177537E-08  1.42100000E+00  3.35279118E-06  2.06532669E-08  1.42100000E+00  3.34886856E-06  1.97830986E-08
  1.43500000E+00  2.00675525E-06  1.61465594E-08  1.43500000E+00  2.02020916E-06  1.38861547E-08  1.43500000E+00  2.03377202E-06  1.59291099E-08  1.43500000E+00  2.06430755E-06  1.35540574E-08
  1.45000000E+00  1.19186728E-06  1.09295972E-08  1.45000000E+00  1.21078000E-06  1.11060792E-08  1.45000000E+00  1.21689931E-06  1.21189757E-08  1.45000000E+00  1.23798344E-06  1.08060494E-08
  1.46400000E+00  6.96429900E-07  8.03631322E-09  1.46400000E+00  7.03680167E-07  7.19288166E-09  1.46400000E+00  7.23939823E-07  7.31518974E-09  1.46400000E+00  7.14049359E-07  8.23327790E-09
  1.47900000E+00  3.90896157E-07  5.96629945E-09  1.47900000E+00  3.89695246E-07  5.55683625E-09  1.47900000E+00  3.91730518E-07  5.69326893E-09  1.47900000E+00  3.97670968E-07  7.19673838E-09
  1.49300000E+00  2.09391243E-07  3.95572148E-09  1.49300000E+00  2.08283238E-07  4.51672374E-09  1.49300000E+00  2.13674666E-07  4.07058844E-09  1.49300000E+00  2.18945480E-07  4.90936651E-09
  1.50800000E+00  9.88977500E-08  2.49800566E-09  1.50800000E+00  1.03600328E-07  2.92001197E-09  1.50800000E+00  1.06815648E-07  3.26444543E-09  1.50800000E+00  1.09864171E-07  2.93481940E-09
  1.52200000E+00  4.76282949E-08  1.70181815E-09  1.52200000E+00  5.04993427E-08  1.69966603E-09  1.52200000E+00  5.45412876E-08  1.92986519E-09  1.52200000E+00  5.59928748E-08  2.25253684E-09
  1.53700000E+00  2.22347622E-08  1.23160714E-09  1.53700000E+00  2.42172506E-08  1.52223001E-09  1.53700000E+00  2.63622029E-08  1.50947150E-09  1.53700000E+00  2.44951653E-08  1.42227518E-09
  1.55100000E+00  9.77441300E-09  9.27609475E-10  1.55100000E+00  8.63830443E-09  8.16192030E-10  1.55100000E+00  1.02830399E-08  7.41095132E-10  1.55100000E+00  1.23761321E-08  1.06020090E-09
  1.56600000E+00  4.12815523E-09  5.04670477E-10  1.56600000E+00  5.22646085E-09  7.62434919E-10  1.56600000E+00  5.24150516E-09  5.81477208E-10  1.56600000E+00  5.03041341E-09  6.98950262E-10
  1.58000000E+00  1.24974170E-09  2.49525910E-10  1.58000000E+00  1.30598444E-09  2.52840951E-10  1.58000000E+00  2.35839475E-09  4.46680906E-10  1.58000000E+00  2.33067108E-09  4.27749958E-10
  1.59500000E+00  8.52821913E-10  2.28924591E-10  1.59500000E+00  4.02352760E-10  1.49058065E-10  1.59500000E+00  6.17237793E-10  2.01598826E-10  1.59500000E+00  1.05429899E-09  2.72081950E-10
  1.60900000E+00  1.62797606E-10  1.06212693E-10  1.60900000E+00  3.65858094E-10  1.27999187E-10  1.60900000E+00  1.81480062E-10  1.14782086E-10  1.60900000E+00  2.04242408E-10  9.37772391E-11
  1.62400000E+00  1.92258569E-10  1.19423178E-10  1.62400000E+00  3.58531797E-11  3.58042682E-11  1.62400000E+00  0.00000000E+00  0.00000000E+00  1.62400000E+00  1.84024472E-11  1.67557348E-11
  1.63800000E+00  0.00000000E+00  0.00000000E+00  1.63800000E+00  0.00000000E+00  0.00000000E+00  1.63800000E+00  0.00000000E+00  0.00000000E+00  1.63800000E+00  3.48224122E-11  3.48213541E-11
  1.65300000E+00  0.00000000E+00  0.00000000E+00  1.65300000E+00  0.00000000E+00  0.00000000E+00  1.65300000E+00  0.00000000E+00  0.00000000E+00  1.65300000E+00  0.00000000E+00  0.00000000E+00
  1.66700000E+00  0.00000000E+00  0.00000000E+00  1.66700000E+00  0.00000000E+00  0.00000000E+00  1.66700000E+00  0.00000000E+00  0.00000000E+00  1.66700000E+00  0.00000000E+00  0.00000000E+00
  1.68200000E+00  0.00000000E+00  0.00000000E+00  1.68200000E+00  0.00000000E+00  0.00000000E+00  1.68200000E+00  0.00000000E+00  0.00000000E+00  1.68200000E+00  0.00000000E+00  0.00000000E+00
  1.69600000E+00  0.00000000E+00  0.00000000E+00  1.69600000E+00  0.00000000E+00  0.00000000E+00  1.69600000E+00  0.00000000E+00  0.00000000E+00  1.69600000E+00  0.00000000E+00  0.00000000E+00
  1.71100000E+00  0.00000000E+00  0.00000000E+00  1.71100000E+00  0.00000000E+00  0.00000000E+00  1.71100000E+00  0.00000000E+00  0.00000000E+00  1.71100000E+00  0.00000000E+00  0.00000000E+00
  1.72500000E+00  0.00000000E+00  0.00000000E+00  1.72500000E+00  0.00000000E+00  0.00000000E+00  1.72500000E+00  0.00000000E+00  0.00000000E+00  1.72500000E+00  0.00000000E+00  0.00000000E+00
  1.74000000E+00  0.00000000E+00  0.00000000E+00  1.74000000E+00  0.00000000E+00  0.00000000E+00  1.74000000E+00  0.00000000E+00  0.00000000E+00  1.74000000E+00  0.00000000E+00  0.00000000E+00
  1.75400000E+00  0.00000000E+00  0.00000000E+00  1.75400000E+00  0.00000000E+00  0.00000000E+00  1.75400000E+00  0.00000000E+00  0.00000000E+00  1.75400000E+00  0.00000000E+00  0.00000000E+00
